method,search_seed,training_seed,evaluation_index,budget,phase,architecture,parent_architecture,mutation_type,fitness,final_val_accuracy,observed_final_val_accuracy,best_val_accuracy,parameter_count,training_time,population_age_order,predicted_mu_before_training,surrogate_training_size,selected_candidate_index,surrogate_training_mse
SA-RE,1002,20260827,1,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":1,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":3,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":0,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":4,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":2,""op"":""conv_1x7_7x1""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":3,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":4,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":4,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}}]}}",,random_initialization,0.7146,0.7146,0.7146,0.7146,1180210,175.9619935999981,"{""ages_in_evaluations"":[0],""oldest_to_youngest_evaluation_indices"":[1]}",,,,
SA-RE,1002,20260828,2,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":2,""op"":""identity""},""branch_2"":{""input_state"":0,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":4,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":0,""op"":""sep_conv_7x7""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":3,""op"":""identity""}},{""branch_1"":{""input_state"":4,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""identity""}},{""branch_1"":{""input_state"":0,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":4,""op"":""max_pool_3x3""}}]}}",,random_initialization,0.7348,0.7348,0.7348,0.7348,1199962,173.3208694999994,"{""ages_in_evaluations"":[1,0],""oldest_to_youngest_evaluation_indices"":[1,2]}",,,,
SA-RE,1002,20260829,3,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""identity""},""branch_2"":{""input_state"":0,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":3,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":3,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":4,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":4,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""dil_sep_conv_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":2,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":1,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""identity""}},{""branch_1"":{""input_state"":3,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":4,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""conv_1x7_7x1""}}]}}",,random_initialization,0.7854,0.7854,0.7854,0.7854,586210,92.79727439999988,"{""ages_in_evaluations"":[2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3]}",,,,
SA-RE,1002,20260830,4,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":2,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":2,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":1,""op"":""identity""},""branch_2"":{""input_state"":4,""op"":""dil_sep_conv_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":2,""op"":""identity""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":1,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":3,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":4,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":3,""op"":""identity""},""branch_2"":{""input_state"":2,""op"":""max_pool_3x3""}}]}}",,random_initialization,0.8074,0.8074,0.8074,0.8074,998722,129.60632500000065,"{""ages_in_evaluations"":[3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4]}",,,,
SA-RE,1002,20260831,5,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":2,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":3,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":3,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":3,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":1,""op"":""identity""},""branch_2"":{""input_state"":4,""op"":""max_pool_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":1,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":3,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""identity""}},{""branch_1"":{""input_state"":3,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":0,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":2,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""avg_pool_3x3""}}]}}",,random_initialization,0.7138,0.7138,0.7138,0.7138,987286,143.46465140000146,"{""ages_in_evaluations"":[4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5]}",,,,
SA-RE,1002,20260832,6,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":3,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":4,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":4,""op"":""avg_pool_3x3""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":1,""op"":""identity""},""branch_2"":{""input_state"":2,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":2,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":4,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""identity""}}]}}",,random_initialization,0.672,0.672,0.672,0.672,1065550,152.71649940000134,"{""ages_in_evaluations"":[5,4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5,6]}",,,,
SA-RE,1002,20260833,7,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":0,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":1,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":1,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":3,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":2,""op"":""sep_conv_5x5""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":0,""op"":""identity""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":2,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":1,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""dil_sep_conv_3x3""}},{""branch_1"":{""input_state"":3,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":2,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":4,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""identity""}}]}}",,random_initialization,0.7886,0.7886,0.7886,0.7886,927622,131.13411330000235,"{""ages_in_evaluations"":[6,5,4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5,6,7]}",,,,
SA-RE,1002,20260834,8,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""identity""},""branch_2"":{""input_state"":0,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":0,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":2,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":4,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":5,""op"":""sep_conv_5x5""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":0,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_7x7""},""branch_2"":{""input_state"":1,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""sep_conv_3x3""},""branch_2"":{""input_state"":2,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":0,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":0,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""conv_1x7_7x1""}}]}}",,random_initialization,0.7772,0.7772,0.7772,0.7772,813730,130.1385134000011,"{""ages_in_evaluations"":[7,6,5,4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5,6,7,8]}",,,,
SA-RE,1002,20260835,9,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":2,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":2,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":1,""op"":""identity""}},{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":2,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":5,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":4,""op"":""sep_conv_7x7""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""identity""},""branch_2"":{""input_state"":0,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":2,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":0,""op"":""avg_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""identity""}},{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":3,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":4,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":3,""op"":""identity""}}]}}",,random_initialization,0.6848,0.6848,0.6848,0.6848,828922,141.6387265000012,"{""ages_in_evaluations"":[8,7,6,5,4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5,6,7,8,9]}",,,,
SA-RE,1002,20260836,10,60,initialization,"{""normal"":{""pairs"":[{""branch_1"":{""input_state"":1,""op"":""dil_sep_conv_3x3""},""branch_2"":{""input_state"":1,""op"":""conv_1x7_7x1""}},{""branch_1"":{""input_state"":1,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":0,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":2,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":3,""op"":""identity""},""branch_2"":{""input_state"":0,""op"":""sep_conv_3x3""}},{""branch_1"":{""input_state"":4,""op"":""max_pool_3x3""},""branch_2"":{""input_state"":4,""op"":""sep_conv_5x5""}}]},""reduction"":{""pairs"":[{""branch_1"":{""input_state"":0,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":1,""op"":""sep_conv_5x5""}},{""branch_1"":{""input_state"":2,""op"":""identity""},""branch_2"":{""input_state"":1,""op"":""identity""}},{""branch_1"":{""input_state"":2,""op"":""conv_1x7_7x1""},""branch_2"":{""input_state"":2,""op"":""max_pool_3x3""}},{""branch_1"":{""input_state"":2,""op"":""avg_pool_3x3""},""branch_2"":{""input_state"":4,""op"":""sep_conv_7x7""}},{""branch_1"":{""input_state"":2,""op"":""sep_conv_5x5""},""branch_2"":{""input_state"":2,""op"":""identity""}}]}}",,random_initialization,0.6798,0.6798,0.6798,0.6798,989914,150.27637759999925,"{""ages_in_evaluations"":[9,8,7,6,5,4,3,2,1,0],""oldest_to_youngest_evaluation_indices"":[1,2,3,4,5,6,7,8,9,10]}",,,,
